city,city_en,id,area,lon,lat
חברון,hebron,3400,מרכז,35.09982600000001,31.532569
אעצם,A'SAM,963,דרום,34.903102,31.295816
אבירים,ABBIRIM,1220,צפון,35.286044,33.038086
אבו עבדון,ABU ABDUN,958,דרום,34.841655,31.30139699999999
אבו עמאר,ABU AMMAR,1042,דרום,34.954032,31.138356
אבו עמרה,ABU AMRE,932,דרום,34.872739,31.282188
אבו גוש,ABU GHOSH,472,מרכז,35.109193,31.806293
אבו ג'ווייעד,ABU JUWEI'ID,967,דרום,35.072843,31.180663
אבו קורינאת,ABU QUREINAT,968,דרום,34.952003,31.103115
אבו קרינאת,ABU QUREINAT,1342,דרום,34.952003,31.103115
אבו רובייעה,ABU RUBEI'A,966,דרום,34.851612,31.046051
אבו רוקייק,ABU RUQAYYEQ,961,דרום,34.863897,31.25954
אבו סנאן,ABU SINAN,473,צפון,35.171969,32.95803
אבו סריחאן,ABU SUREIHAN,935,דרום,34.881407,31.254333
אבו תלול,ABU TULUL,1375,דרום,34.913514,31.142612
אדמית,ADAMIT,1068,צפון,35.20951,33.078842
עדנים,ADANIM,2035,מרכז,34.909148,32.138798
אדרת,ADDERET,1123,דרום-מרכז,34.99444,31.659715
אדירים,ADDIRIM,113,צפון,35.271637,32.54894100000001
עדי,ADI,1199,צפון,35.173412,32.782353
אדורה,ADORA,3759,דרום-מרכז,35.017634,31.552219
אדורים,ADORAYIM,3987,מרכז,34.751944,31.609538
אפיניש,AFEINISH,959,דרום,34.996386,31.316183
אפק,AFEQ,313,צפון,35.12778,32.838316
אפיק,AFIQ,4301,צפון,35.702994,32.779428
אפיקים,AFIQIM,176,צפון,35.57773,32.680564
עפולה,AFULA,7700,צפון,35.287922,32.610493
עגור,AGUR,794,דרום-מרכז,34.912024,31.697475
אחווה,AHAWA,1157,דרום,34.767848,31.742893
אחיעזר,AHI'EZER,797,מרכז,34.871821,31.981671
אחיהוד,AHIHUD,785,צפון,35.171715,32.907405
אחיסמך,AHISAMAKH,804,מרכז,34.908576,31.931906
אחיטוב,AHITUV,850,צפון-מרכז,34.990826,32.387701
אחוזם,AHUZZAM,821,דרום,34.770151,31.552682
אחוזת ברק,AHUZZAT BARAQ,1330,צפון,35.338893,32.643101
עכו,AKKO,7600,צפון,35.082678,32.933052
אל סייד,AL SAYYID,1359,דרום,34.916298,31.281719
אל עריאן,AL-ARYAN,1316,צפון,35.125094,32.498076
אל עזי,AL-AZY,1339,דרום,34.814254,31.71886799999999
